SupplierId,supplierName,whilteLabelId,dataAvailable,supplierRank,overallRating,complaintsRating,complaintsNumber,billsRating,billsAccuracy %,contactRating,contactTime,contactEmail%,contactSocialMedia,switchRating,switchPercent,guaranteeRating,guaranteesList,contactInformation,billingInformation,openingHours,fuelMix
7,Bulb Energy,0,TRUE,11,2.9,1,55.4,5,98.1,2.2,05:17,85.8,N/A,5,98.4,5,"Switch Guarantee, Vulnerability Commitment","Telephone: 0300 30 30 635,
Email: help@bulb.co.uk,
Website: bulb.co.uk,
Web Chat: Yes,
Ring backs: Yes,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: Yes,
Prepayment: Yes,","Monday: 9am - 6pm,
Tuesday: 9am - 6pm,
Wednesday: 9am - 6pm,
Thursday: 9am - 6pm,
Friday: 9am - 6pm,
Saturday: Closed, 
Sunday: Closed,","Fossil fuel: 0%,
Nuclear: 0%,
Renewable: 100%,
Other: 0%,"
6,British Gas,0,TRUE,12,2.75,2,53.1,3,93.1,2.2,05:24,93.8,N/A,4,96.2,5,"Switch Guarantee, Vulnerability Commitment","Telephone: 0333 202 9802,
Email: customerservices@britishgas.co.uk,
Website: www.britishgas.co.uk,
Web Chat: Yes,
Ring backs: Yes,
Mobile hotline: No,
Minicom / Text: 18001 0800 072 8626,","Direct debit: Yes,
Cash or cheque: Yes,
Prepayment: Yes,","Monday: 9am - 5pm,
Tuesday: 9am - 5pm,
Wednesday: 9am - 5pm,
Thursday: 9am - 5pm,
Friday: 9am - 5pm,
Saturday: Closed,
Sunday: Closed,","Fossil fuel: 0%
Nuclear: 24%,
Renewable: 76%,
Other: 0%"
27,Good Energy,0,TRUE,13,2.7,3,23.5,4,97.6,1.8,09:03,61.6,N/A,4,95.6,0,,"Telephone: 0800 254 0000,
Email: enquiries@goodenergy.co.uk,
Website: www.goodenergy.co.uk,
Web Chat: No,
Ring backs: No,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: Yes,
Prepayment: Yes,","Monday: 9am - 5pm,
Tuesday: 9am - 5pm,
Wednesday: 9am - 5pm,
Thursday: 9am - 5pm,
Friday: 9am - 5pm,
Saturday: Closed, 
Sunday: Closed,","Fossil fuel: 0%,
Nuclear: 0%,
Renewable: 100%,
Other: 0%,"
15,Ecotricity,0,TRUE,14,2.6,1,180.3,4,96.7,3,02:11,67.2,N/A,4,97.3,3,Vulnerability Commitment,"Telephone: 0800 0302302,
Email: home@ecotricity.co.uk,
Website: www.ecotricity.co.uk,
Web Chat: No,
Ring backs: Yes,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: Yes,
Prepayment: Yes,","Monday: 8.30am - 6pm,
Tuesday: 8.30am - 6pm,
Wednesday: 8.30am - 6pm,
Thursday: 8.30am - 6pm,
Friday: 8.30am - 6pm,
Saturday: 9am - 3pm, 
Sunday: Closed,","Fossil fuel: 0%,
Nuclear: 0%,
Renewable: 100%,
Other: 0%,"
12,E.ON Energy,0,TRUE,15,2.4,1,55.6,4,96.6,2.2,06:33,68.8,882,4,97.6,3,"Switch Guarantee,","Telephone: 0345 052 0000,
Email: email.queries@eonenergy.com,
Website: www.eonenergy.com/for-your-home,
Web Chat: Yes,
Ring backs: Yes,
Mobile hotline: No,
Minicom / Text: 0800 056 6560,","Direct debit: Yes,
Cash or cheque: Yes,
Prepayment: Yes,","Monday: 8am - 8pm,
Tuesday: 8am - 8pm,
Wednesday: 8am - 8pm,
Thursday: 8am - 8pm,
Friday: 8am - 8pm,
Saturday: 8am - 6pm, 
Sunday: Closed,","Fossil fuel: 64%,
Nuclear: 16%,
Renewable: 17%,
Other: 4%,"
17,Boost Power,0,TRUE,16,2.25,1,81.8,-3,-3,2.6,05:06,98.4,N/A,5,100,3,Vulnerability Commitment,"Telephone: 0330 102 7517,
Email: No,
Website: www.boostpower.co.uk,
Web Chat: No,
Ring backs: Yes,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: No,
Cash or cheque: No,
Prepayment: Yes,","Monday: 8am - 6pm,
Tuesday: 8am - 6pm,
Wednesday: 8am - 6pm,
Thursday: 8am - 6pm,
Friday: 8am - 6pm,
Saturday: 9am - 1pm, 
Sunday: Closed,","Fossil fuel: 0%,
Nuclear: 61%,
Renewable: 39%,
Other: 0%,"
47,SSE,0,TRUE,17,2.2,1,81.8,3,94.5,1,07:25,17.2,N/A,5,100,5,"Switch Guarantee, Vulnerability Commitment","Telephone: 0345 070 7373,
Email: customerservice@sse.com,
Website: sse.co.uk/help,
Web Chat: Yes,
Ring backs: Yes,
Mobile hotline: No,
Minicom / Text: 0800 622 839,","Direct debit: Yes,
Cash or cheque: Yes,
Prepayment: Yes,","Monday: 8am - 6pm,
Tuesday: 8am - 6pm,
Wednesday: 8am - 6pm,
Thursday: 8am - 6pm,
Friday: 8am - 6pm,
Saturday: 8am - 2pm,
Sunday: Closed,","Fossil fuel: 48%,
Renewable: 52%,"
11,E (Gas and Electricity),0,TRUE,18,2.125,1,57.9,-3,-3,2.2,12:09,80.9,N/A,5,99.8,3,Vulnerability Commitment,"Telephone: 0333 103 9575,
Email: customer.services@e.org,
Website: www.e.org,
Web Chat: No,
Ring backs: No,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: No,
Cash or cheque: No,
Prepayment: Yes,","Monday: 8am - 8pm,
Tuesday: 8am - 8pm,
Wednesday: 8am - 8pm,
Thursday: 8am - 8pm,
Friday: 8am - 8pm,
Saturday: 9am - 5pm, 
Sunday: Closed,","Fossil fuel: 43%,
Nuclear: 9%,
Renewable: 45%,
Other: 4%,"
38,Ovo Energy,0,TRUE,19,2,1,81.8,3,93.5,1.4,05:36,59.5,N/A,4,97.9,3,Vulnerability Commitment,"Telephone: 08004 086 610,
Email: hello@ovoenergy.com,
Website: www.ovoenergy.com,
Web Chat: Yes,
Ring backs: Yes,
Mobile hotline: 01173 326 945,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: Yes,
Prepayment: Yes,","Monday: 8am - 8pm,
Tuesday: 8am - 8pm,
Wednesday: 8am - 8pm,
Thursday: 8am - 8pm,
Friday: 8am - 6pm,
Saturday: 9am - 5pm, 
Sunday: Closed,","Fossil fuel: 35%,
Nuclear: 0%,
Renewable: 65%,
Other: 0%,"
50,Utilita,0,TRUE,20,1.75,1,128.8,2,87.5,2,03:47,35.7,00:00,5,99.5,0,,"Telephone: 03303 337 442,
Email: customerservices@utilita.co.uk,
Website: www.utilita.co.uk,
Web Chat: Yes,
Ring backs: Yes,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: Yes,
Prepayment: Yes,","Monday: 8am - 8pm,
Tuesday: 8am - 8pm,
Wednesday: 8am - 8pm,
Thursday: 8am - 8pm,
Friday: 8am - 8pm,
Saturday: 8am - 5pm, 
Sunday: 8am - 5pm,","Fossil fuel: 75%,
Nuclear: 19%,
Renewable: 3%,
Other: 4%,"
104,British Gas Evolve,6,FALSE,,,,,,,,,,,,,,,"Telephone: No,
Email: service@britishgasevolve.co.uk,
Website: www.britishgasevolve.co.uk,
Web Chat: Yes,
Ring backs: No,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: No,
Prepayment: Yes,","Monday: 9am - 5.00pm,
Tuesday: 9am - 5.00pm,
Wednesday: 9am - 5.00pm,
Thursday: 9am - 5.00pm,
Friday: 9am - 5.00pm,
Saturday: Closed,
Sunday: Closed,","Fossil fuel: 0%,
Nuclear: 24%,
Renewable: 76%,
Other: 0%,"
34,Economy 7 Energy,100,FALSE,,,,,,,,,,,,,,,"Telephone: 0800 288 9053,
Email: hello@economyseven.co.uk, 
Website: www.economyseven.co.uk,
Web Chat: Yes,
Ring backs: Yes,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: No,
Prepayment: No,","Monday: 8.30am - 7pm,
Tuesday: 8.30am - 7pm,
Wednesday: 8.30am - 7pm,
Thursday: 8.30am - 7pm,
Friday: 8.30am - 5pm,
Saturday: 9am - 2pm,
Sunday: Closed,","Fossil fuel: 0%,
Nuclear: 0%,
Renewable: 100%,
Other: 0%,"
37,Energy SW,38,FALSE,,,,,,,,,,,,,,,"Telephone: 0800 408 6716,
Email: hello@energysw.co.uk,
Website: www.energysw.co.uk,
Web Chat: No,
Ring backs: No,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: Yes,
Prepayment: Yes,","Monday: 8am - 8pm,
Tuesday: 8am - 8pm,
Wednesday: 8am - 8pm,
Thursday: 8am - 8pm,
Friday: 8am - 6pm,
Saturday: 9am - 5pm,
Sunday: Closed,",
53,Fairerpower,38,FALSE,,,,,,,,,,,,,,,"Telephone: 0800 408 6701,
Email: hello@fairerpower.co.uk,
Website: fairerpower.co.uk,
Web Chat: No,
Ring backs: No,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: Yes,
Prepayment: Yes,","Monday: 8am - 8pm,
Tuesday: 8am - 8pm,
Wednesday: 8am - 8pm,
Thursday: 8am - 8pm,
Friday: 8am - 6pm,
Saturday: 9am - 5pm,
Sunday: Closed,",
56,Fischer Energy,100,FALSE,,,,,,,,,,,,,,,"Telephone: 0800 103 2769,
Email: Hello@fischerenergy.co.uk,
Website: www.fischerenergy.co.uk,
Web Chat: No,
Ring backs: No,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: Yes,
Prepayment: No,","Monday: 8.30am - 5.30pm,
Tuesday: 8.30am - 5.30pm,
Wednesday: 8.30am - 5.30pm,
Thursday: 8.30am - 5.30pm,
Friday: 8.30am - 5.30pm,
Saturday: 9am - 2pm,
Sunday: Closed,",
59,GB Energy,36,FALSE,,,,,,,,,,,,,,,"Telephone: 0800 6444 451,
Email: support@gbenergysupply.co.uk,
Website: www.gbenergysupply.co.uk,
Web Chat: No,
Ring backs: No,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: No,
Prepayment: No,","Monday: 8am - 8pm,
Tuesday: 8am - 8pm,
Wednesday: 8am - 8pm,
Thursday: 8am - 8pm,
Friday: 8am - 8pm,
Saturday: 9am - 4pm,
Sunday: Closed,","Fossil fuel: 54%,
Nuclear: 11%,
Renewable: 29%,
Other: 4%,"
60,Glide,38,FALSE,,,,,,,,,,,,,,,"Telephone: 0333 666 5555,
Email: glide@glide.co.uk,
Website: glide.co.uk,
Web Chat: No,
Ring backs: No,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: No,
Prepayment: No,","Monday: 8.30am - 7pm,
Tuesday: 8.30am - 7pm,
Wednesday: 8.30am - 7pm,
Thursday: 8.30am - 7pm,
Friday: 8.30am - 7pm,
Saturday: Closed,
Sunday: Closed,",
69,Green Energy UK,0,FALSE,,,,,,,,,,,,,,,"Telephone: 01920 486 156,
Email: help@greenenergyuk.com,
Website: www.greenenergyuk.com,
Web Chat: No,
Ring backs: Yes,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: Yes,
Prepayment: Yes,","Monday: 8.30am - 5.30pm,
Tuesday: 8.30am - 5.30pm,
Wednesday: 8.30am - 5.30pm,
Thursday: 8.30am - 5.30pm,
Friday: 8.30am - 5.30pm,
Saturday: Closed,
Sunday: Closed,","Fossil fuel: 0%,
Nuclear: 0%,
Renewable: 100%,
Other: 0%,"
72,Logicor,0,FALSE,,,,,,,,,,,,,,,"Telephone: 0330 1239540,
Email: No,
Website: logicor-energy.co.uk,
Web Chat: No,
Ring backs: Yes,
Mobile hotline:  No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: No,
Prepayment: No,","Monday:,
Tuesday:,
Wednesday:,
Thursday:,
Friday:,
Saturday:,
Sunday:,",
74,London Power,36,FALSE,,,,,,,,,,,,,,,"Telephone: 0808 168 8145,
Email: hello@mylondonpower.com,
Website: www.mylondonpower.com,
Web Chat: No,
Ring backs: Yes,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: Yes,
Prepayment: Yes,","Monday: 9am - 5pm,
Tuesday: 9am - 5pm,
Wednesday: 9am - 5pm,
Thursday: 9am - 5pm,
Friday: 9am - 5pm,
Saturday: Closed,
Sunday: Closed,","Fossil fuel: 0%,
Nuclear: 0%,
Renewable: 100%,
Other: 0%,"
75,Lumo,38,FALSE,,,,,,,,,,,,,,,"Telephone: No,
Email: Via website/app,
Website: lumoapp.co.uk,
Web Chat: No,
Ring backs: No,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: No,
Prepayment: No,","Monday:,
Tuesday:,
Wednesday:,
Thursday:,
Friday:,
Saturday:,
Sunday:,","Fossil fuel: 61%,
Nuclear: 0%,
Renewable: 39%,
Other: 0%,"
99,Nabuh Energy,6,FALSE,,,,,,,,,,,,,,,"Telephone: 0330 0414 902,
Email: customerservice@nabuhenergy.co.uk,
Website: www.nabuhenergy.co.uk,
Web Chat: No,
Ring backs: No,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: No,
Prepayment: Yes,","Monday: 9am - 8pm,
Tuesday: 9am - 8pm,
Wednesday: 9am - 8pm,
Thursday: 9am - 8pm,
Friday: 9am - 8pm,
Saturday: 9am - 5pm, 
Sunday: 9am - 5pm,","Fossil fuel: 74%,
Nuclear: 19%,
Renewable: 3%,
Other: 4%,"
79,Northumbria Energy,0,FALSE,,,,,,,,,,,,,,,"Telephone: 0800 802 1169,
Email: service@northumbriaenergy.co.uk,
Website: www.northumbriaenergy.co.uk,
Web Chat: No,
Ring backs: No,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: No,
Prepayment: No,","Monday: 9am - 5pm,
Tuesday: 9am - 5pm,
Wednesday: 9am - 5pm,
Thursday: 9am - 5pm,
Friday: 9am - 5pm,
Saturday: Closed,
Sunday: Closed,","Fossil fuel: 46%,
Nuclear: 19%,
Renewable: 3%,
Other: 2%,"
35,npower,12,FALSE,,,,,,,,,,,,,,,"Telephone: 0800 073 3000,
Email: helpline@npower.com,
Website: www.npower.com/home,
Web Chat: Yes,
Ring backs: No,
Mobile hotline: 0300 100 3000,
Minicom / Text: 0800 413 016,","Direct debit: Yes,
Cash or cheque: Yes,
Prepayment: Yes,","Monday: 8am - 8pm,
Tuesday: 8am - 8pm,
Wednesday: 8am - 8pm,
Thursday: 8am - 8pm,
Friday: 8am - 8pm,
Saturday: 8am - 6pm,
Sunday: Closed,","Fossil fuel: 64%,
Nuclear: 16%,
Renewable: 17%,
Other: 4%,"
80,Powershop,12,FALSE,,,,,,,,,,,,,,,"Telephone: 0800 009 3719,
Email: info@powershop.co.uk
Website: www.powershop.co.uk,
Web Chat: No,
Ring backs: Yes,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: No,
Prepayment: Yes,","Monday: 9am - 8pm,
Tuesday: 9am - 8pm,
Wednesday: 9am - 8pm,
Thursday: 9am - 8pm,
Friday: 9am - 8pm,
Saturday: Closed,
Sunday: Closed,","Fossil fuel: 56%,
Nuclear: 15%,
Renewable: 26%,
Other: 3%,"
81,Qwest Energy,36,FALSE,,,,,,,,,,,,,,,"Telephone: 0800 160 1240,
Email: No,
Website: qwestenergy.co.uk,
Web Chat: No,
Ring backs: Yes,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: No,
Prepayment: Yes,","Monday: 8am - 8pm,
Tuesday: 8am - 8pm,
Wednesday: 8am - 8pm,
Thursday: 8am - 8pm,
Friday: 8am - 8pm,
Saturday: 9am - 5pm,
Sunday: Closed,","Fossil fuel: 0%,
Nuclear: 0%,
Renewable: 100%,
Other: 0%,"
84,Roar Power,36,FALSE,,,,,,,,,,,,,,,"Telephone: 0808 164 1088,
Email: hello@octopus.energy,
Website: www.octopus.energy/roar-power/,
Web Chat: No,
Ring backs: No,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: No,
Prepayment: Yes,","Monday: 9am - 5pm,
Tuesday: 9am - 5pm,
Wednesday: 9am - 5pm,
Thursday: 9am - 5pm,
Friday: 9am - 5pm,
Saturday: Closed,
Sunday: Closed,","Fossil fuel: 0%,
Nuclear: 0%,
Renewable: 100%,
Other: 0%,"
85,Sainsbury's Energy,12,FALSE,,,,,,,,,,,,,,,"Telephone: 0800 316 0316,
Email: No,
Website: www.sainsburysenergy.com,
Web Chat: No,
Ring backs: Yes,
Mobile hotline: 0330 100 0014,
Minicom / Text: 18001 0800 072 8626,","Direct debit: Yes,
Cash or cheque:Yes,
Prepayment: No,","Monday: 8am - 8pm,
Tuesday: 8am - 8pm,
Wednesday: 8am - 8pm,
Thursday: 8am - 8pm,
Friday: 8am - 8pm,
Saturday: 8am - 6pm,
Sunday: Closed,","Fossil fuel: 0%,
Nuclear: 0%,
Renewable: 100%,
Other: 0%,"
95,Spark Energy,38,FALSE,,,,,,,,,,,,,,,"Telephone: 0345 034 7474,
Email: customerservice@sparkenergy.co.uk,
Website: sparkenergy.co.uk,
Web Chat: Yes,
Ring backs: Yes,
Mobile hotline: 0345 0347474,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: Yes,
Prepayment: Yes,","Monday: 8am - 8pm,
Tuesday: 8am - 8pm,
Wednesday: 8am - 8pm,
Thursday: 8am - 8pm,
Friday: 8am - 8pm,
Saturday: 9am - 2pm, 
Sunday: Closed,","Fossil fuel: 90%,
Nuclear: 1%,
Renewable: 7%,
Other: 0%,"
90,TruEnergy,0,FALSE,,,,,,,,,,,,,,,"Telephone: 0203 637 8137,
Email: info@truenergy.co.uk,
Website: www.truenergy.co.uk,
Web Chat: No,
Ring backs: No,
Mobile hotline: No,
Minicom / Text: No,","Direct debit: Yes,
Cash or cheque: No,
Prepayment: Yes,","Monday: 9am - 5pm,
Tuesday: 9am - 5pm,
Wednesday: 9am - 5pm,
Thursday: 9am - 5pm,
Friday: 9am - 5pm,
Saturday: Closed,
Sunday: Closed,","Fossil fuel: 0%,
Nuclear: 0%,
Renewable: 100%,
Other: 0%,"
105,E.on Next,12,FALSE,,,,,,,,,,,,,,,,,,
